,kg,Cu,Ni,fe,Al ,CaO,SiO2,Al2O3,Li2O,Co,Other
Batteries,1200,0,0,0,0,0,0,0,0,0,0
Limestone ,100,0,0,0,0,0.6,0,0,0,0,0
Sand,110,0,0,0,0,0,1,0,0,0,0
Slag - In,200,0,0,0.01,0,0.387,0.34,0.11,0,0,0.153
