,Copper,Nickel,Iron,Cobalt,Aluminum,Manganese,,,
Alloy,0.928,0.99,0.645,0.94,0,0,,,
Slag,0.072,0.01,0.355,0.06,1,1,,,
Input,0,0,0,0,0,0,,,
