,Units,NiSO4,CoSO4,MnSO4,Ni(NH3)2,Co(NH3)2,Mn(NH3)2
Total,kg,907.18,907.18,907.18,907.18,907.18,178.96
Transition Metal,kg,334.06,438.17,330.74,292.11,625.05,70.94
Sulfate or Nitrate,kg,	574.96,574.96,598.74,625.05,907.18,126.04
Process emissions,kg CO2/kg,0.055,0,0,0,0,0
Process resources,MJ/kg,0.85,0,0,0,0,0
